
Price,Trim,Drivetrain,City_mpg,ExtColor,IntColor
58315,Calligraphy,AWD,18,Ecotronic Gray,Black
58710,Calligraphy,AWD,18,Creamy White,Brown
58470,Calligraphy,AWD,18,Abyss Black,Black
58270,Calligraphy,AWD,18,Abyss Black,Gray/Navy
55710,Calligraphy,AWD,19,Abyss Black,Gray/Navy
44520,SEL,AWD,19,Classy Blue,Black
56725,Calligraphy,FWD,19,Creamy White,Black
58015,Calligraphy,AWD,19,Abyss Black,Black
47495,SEL Convenience,AWD,19,Creamy White,Gray
58185,Calligraphy,AWD,19,Classy Blue,Black
53345,Limited,AWD,20,Black,Gray
58135,Calligraphy,AWD,19,Classy Blue,Gray/Navy
