
Price,Trim,Drivetrain,City_mpg,ExtColor,IntColor,VIN
58315,Calligraphy,AWD,18,Ecotronic Gray,Black,KM8RMES2XTU030770
58710,Calligraphy,AWD,18,Creamy White,Brown,KM8RMES2XTU026072
58470,Calligraphy,AWD,18,Abyss Black,Black,KM8RMES26TU028885
58270,Calligraphy,AWD,18,Abyss Black,Gray/Navy,KM8RMES22TU030357
55710,Calligraphy,AWD,19,Abyss Black,Gray/Navy,KM8RM5S20TU020314
44520,SEL,AWD,19,Classy Blue,Black,KM8RG5S25TU020221
56725,Calligraphy,FWD,19,Creamy White,Black,KM8RM5S22TU019312
58015,Calligraphy,AWD,19,Abyss Black,Black,KM8RMES26TU030474
47495,SEL Convenience,AWD,19,Creamy White,Gray,KM8RGES29TU026863
58185,Calligraphy,AWD,19,Classy Blue,Black,KM8RMES22TU016698
53345,Limited,AWD,20,Black,Gray,KM8RKES21TU023017
58135,Calligraphy,AWD,19,Classy Blue,Gray/Navy,KM8RMES27TU016907
